coord_key,Latitude,Longitude,Temperature,Humidity,Rainfall,Soil_pH,Nitrogen,Phosphorus,Potassium,Organic_C,Soil_Type
30.0000_-0.7600,30.0,-0.76,22.92,31.87,93.7,8.4,14.3,7.15,15.44,3.2,Loamy
30.0000_-0.8400,30.0,-0.84,22.95,31.67,86.1,8.2,13.9,6.95,14.72,3.1,Loamy
30.0000_-1.0000,30.0,-1.0,22.95,31.54,93.3,8.5,8.3,4.15,15.12,3.4,Loamy
30.0000_-0.9200,30.0,-0.92,22.96,31.56,90.8,8.3,8.6,4.3,15.04,3.1,Loamy
30.0000_-0.6800,30.0,-0.68,22.94,31.83,99.7,8.3,5.6,2.8,15.92,3.3,Loamy
30.0000_-0.6000,30.0,-0.6,22.94,31.83,99.7,8.3,8.5,4.25,15.84,3.2,Loamy
30.0000_-0.5200,30.0,-0.52,22.97,31.87,118.1,8.2,8.8,4.4,15.52,2.9,Loamy
30.0000_-0.4400,30.0,-0.44,23.01,31.79,116.1,8.2,5.4,2.7,14.88,3.4,Loamy
30.0000_-0.3600,30.0,-0.36,23.06,31.66,98.8,8.3,5.2,2.6,16.0,3.0,Loamy
30.0000_-0.1200,30.0,-0.12,23.15,31.42,89.6,8.5,8.4,4.2,15.76,3.1,Loamy
30.0000_-0.2800,30.0,-0.28,23.06,31.66,98.8,8.5,5.0,2.5,15.52,2.8,Loamy
30.0000_-0.2000,30.0,-0.2,23.15,31.45,95.4,8.5,7.7,3.85,15.52,2.9,Loamy
30.0000_-0.0400,30.0,-0.04,23.1,31.57,72.7,8.5,7.6,3.8,15.04,3.5,Loamy
30.0000_0.0400,30.0,0.04,23.1,31.57,72.7,8.4,8.8,4.4,16.24,3.3,Loamy
30.0000_0.1200,30.0,0.12,23.06,31.75,71.6,8.4,8.9,4.45,15.6,3.2,Loamy
30.0000_0.2000,30.0,0.2,23.05,31.77,79.5,8.4,8.4,4.2,14.72,3.3,Loamy
30.0000_0.2800,30.0,0.28,23.07,31.64,78.7,8.4,8.4,4.2,15.2,3.3,Loamy
30.0000_0.3600,30.0,0.36,23.07,31.64,78.7,8.4,8.1,4.05,14.8,3.5,Loamy
30.0000_0.4400,30.0,0.44,23.07,31.66,83.0,8.5,7.9,3.95,15.6,3.1,Loamy
30.0000_0.5200,30.0,0.52,23.08,31.7,80.5,8.4,8.2,4.1,15.76,3.8,Loamy
30.0000_0.6000,30.0,0.6,23.08,31.78,79.2,8.4,8.4,4.2,16.8,3.4,Loamy
30.0000_0.6800,30.0,0.68,23.08,31.78,79.2,8.4,8.2,4.1,14.8,3.1,Loamy
30.0000_0.7600,30.0,0.76,23.1,31.87,70.7,8.4,6.1,3.05,16.4,3.3,Loamy
30.0000_0.8400,30.0,0.84,23.14,31.85,64.6,8.5,7.9,3.95,17.2,3.2,Loamy
30.0000_0.9200,30.0,0.92,23.15,31.92,72.3,8.4,8.3,4.15,16.32,3.6,Loamy
30.0000_1.0800,30.0,1.08,23.13,32.09,76.9,8.4,7.8,3.9,15.36,2.8,Loamy
30.0000_1.0000,30.0,1.0,23.13,32.09,76.9,8.4,9.3,4.65,16.16,2.9,Loamy
30.0000_1.1600,30.0,1.16,23.21,31.92,59.5,8.4,8.2,4.1,15.52,2.7,Loamy
30.0000_1.3200,30.0,1.32,23.45,31.75,84.3,8.5,7.9,3.95,17.28,3.2,Loamy
30.0000_1.4000,30.0,1.4,23.45,31.75,84.3,8.4,5.5,2.75,13.52,2.4,Loamy
30.0000_1.4800,30.0,1.48,23.4,31.76,95.2,8.5,7.9,3.95,14.96,2.9,Loamy
30.0000_1.5600,30.0,1.56,23.55,31.56,89.4,8.5,8.1,4.05,19.28,2.7,Loamy
30.0000_1.7200,30.0,1.72,23.66,31.46,94.2,8.5,5.4,2.7,16.4,2.5,Loamy
30.0000_1.8000,30.0,1.8,23.69,31.36,109.1,8.4,5.4,2.7,17.44,2.9,Loamy
30.0000_1.8800,30.0,1.88,23.67,31.45,103.5,8.4,5.6,2.8,16.24,3.1,Loamy
30.0000_1.9600,30.0,1.96,23.69,31.55,97.7,8.3,5.2,2.6,16.4,3.1,Loamy
30.0000_2.0400,30.0,2.04,23.69,31.55,97.7,8.2,5.2,2.6,19.36,2.9,Loamy
30.0000_1.6400,30.0,1.64,23.66,31.46,94.2,8.4,5.4,2.7,17.28,2.9,Loamy
30.0000_2.1200,30.0,2.12,23.75,31.36,103.7,8.3,5.2,2.6,17.2,3.1,Loamy
30.0000_2.2000,30.0,2.2,23.81,30.95,115.7,8.5,5.0,2.5,18.56,2.8,Loamy
30.0000_2.2800,30.0,2.28,23.77,30.65,99.9,8.5,5.1,2.55,16.64,3.1,Loamy
30.0000_2.4400,30.0,2.44,23.66,30.81,84.0,8.4,6.5,3.25,16.48,3.1,Loamy
30.0000_2.5200,30.0,2.52,23.58,30.99,71.4,8.5,5.3,2.65,15.92,3.0,Loamy
30.0000_2.6000,30.0,2.6,23.59,31.01,92.3,8.5,14.0,7.0,18.64,3.2,Loamy
30.0000_2.6800,30.0,2.68,23.64,31.24,102.1,8.4,5.8,2.9,19.44,3.0,Loamy
30.0000_2.7600,30.0,2.76,23.64,31.24,102.1,8.4,5.6,2.8,15.84,3.2,Loamy
30.0000_2.9200,30.0,2.92,23.79,31.4,58.7,8.4,5.4,2.7,13.36,3.0,Loamy
30.0000_3.0000,30.0,3.0,23.7,31.57,50.7,8.5,5.2,2.6,13.6,2.7,Loamy
30.0000_2.8400,30.0,2.84,23.76,31.24,65.6,8.5,5.4,2.7,17.36,3.3,Loamy
30.0000_1.2400,30.0,1.24,23.31,31.78,70.7,8.4,10.5,5.25,16.08,3.0,Loamy
30.0000_3.1600,30.0,3.16,23.74,31.28,44.8,8.5,7.8,3.9,16.16,3.5,Loamy
30.0000_3.2400,30.0,3.24,23.66,31.44,63.1,8.5,7.9,3.95,14.64,3.1,Loamy
30.0000_2.3600,30.0,2.36,23.77,30.65,99.9,8.5,6.8,3.4,19.28,3.7,Loamy
30.0000_3.0800,30.0,3.08,23.7,31.57,50.7,8.5,5.8,2.9,15.76,3.3,Loamy
30.0000_3.4000,30.0,3.4,23.65,31.65,57.8,8.5,7.8,3.9,13.68,2.8,Loamy
